query,std reasoner,std nodes explored,std min depth,success,time
1,std,2,1,True,0.00016900000000052984
2,std,2,1,True,0.0001769999999998717
3,std,1000000,0,False,27.006193000000003
4,std,3,2,True,0.0002540000000017528
5,std,2,1,True,0.00011399999999994748
6,std,668469,3,True,15.262864999999998
7,std,4,2,True,0.0003299999999981651
8,std,334239,2,True,9.009642
9,std,3,2,True,0.00021499999999718966
10,std,2,1,True,0.0001409999999992806
11,std,1000000,0,False,26.7029
12,std,2,1,True,0.00018000000000029104
13,std,2,1,True,0.00012200000000461841
14,std,848637,2,True,21.08435200000001
15,std,334238,2,True,8.711573999999999
16,std,2,1,True,0.00020700000000317686
17,std,1000000,0,False,26.18906600000001
18,std,4,2,True,0.0003169999999954598
19,std,1000000,0,False,26.537975999999986
20,std,1000000,0,False,26.573459000000014
21,std,1000000,0,False,26.527164999999997
22,std,1000000,0,False,26.544421
23,std,2,1,True,0.00018500000001608896
24,std,2,1,True,0.00019700000001421358
25,std,849958,4,True,21.084382999999974
26,std,2,1,True,0.00019000000003188688
27,std,4,2,True,0.0003969999999640095
28,std,2,1,True,0.00016800000003058813
29,std,2,1,True,0.00015799999999899228
30,std,2,1,True,0.00018900000003441164
31,std,841418,4,True,20.80012899999997
32,std,2,1,True,0.00019700000001421358
33,std,848637,2,True,21.242347999999993
34,std,1000000,0,False,29.69540699999999
35,std,1000000,0,False,24.082610999999986
36,std,397930,1,True,10.647199
37,std,3,2,True,0.0001950000000192631
38,std,848637,2,True,21.014882
39,std,1000000,0,False,26.201499000000013
40,std,841418,4,True,20.854268999999988
41,std,848637,2,True,21.004827999999975
42,std,2,1,True,0.00020299999999906504
43,std,1000000,0,False,26.176849000000004
44,std,1000000,0,False,29.439276000000007
45,std,2,1,True,0.00024999999993724487
46,std,342781,2,True,9.120331000000078
47,std,2,1,True,0.00015400000006593473
48,std,1000000,0,False,23.957071999999926
49,std,841421,4,True,20.84605799999997
50,std,841418,4,True,20.95107399999995
51,std,2,1,True,0.00013200000000779255
52,std,2,1,True,0.00011300000005576294
53,std,1000000,0,False,26.329020000000014
54,std,4,2,True,0.00033800000005612674
55,std,1000000,0,False,26.622103999999922
56,std,841418,4,True,20.824445999999966
57,std,342778,2,True,8.929260999999997
58,std,2,1,True,0.00013200000000779255
59,std,1000000,0,False,26.202721999999994
60,std,2,1,True,0.00017800000000534055
61,std,2,1,True,0.0001440000000911823
62,std,849958,4,True,21.076784999999973
63,std,2,1,True,0.00018499999998766725
64,std,2,1,True,0.00028199999997013947
65,std,334240,2,True,8.93530300000009
66,std,3,2,True,0.000247000000058506
67,std,2,1,True,0.00015099999995982216
68,std,1000000,0,False,29.651703999999995
69,std,2,1,True,0.0002160000000230866
70,std,841418,4,True,20.905771000000072
71,std,394232,2,True,11.659359999999992
72,std,2,1,True,0.00012800000001789158
73,std,668469,3,True,15.196995000000015
74,std,393414,2,True,11.662089999999921
75,std,3,2,True,0.00024200000007112976
76,std,2,1,True,0.0003399999999373904
77,std,2,1,True,0.00016699999991942605
78,std,342781,2,True,9.126619000000005
79,std,1000000,0,False,26.202154000000064
80,std,1000000,0,False,29.602351999999996
81,std,848637,2,True,21.08814099999995
82,std,1000000,0,False,23.993608999999992
83,std,2,1,True,0.00024699999994481914
84,std,2,1,True,0.0001560000000608852
85,std,1000000,0,False,23.994371
86,std,2,1,True,0.00021900000001551234
87,std,2,1,True,0.00026700000000801083
88,std,1000000,0,False,29.60656300000005
89,std,334239,2,True,8.981883000000039
90,std,2,1,True,0.0002069999999321226
91,std,1000000,0,False,26.288370999999984
92,std,1000000,0,False,26.378153999999995
93,std,2,1,True,0.0001990000000660075
94,std,3,2,True,0.00020199999994474638
95,std,668469,3,True,15.187900000000127
96,std,2,1,True,0.00021700000002056186
97,std,2,1,True,0.00015199999984361057
98,std,393414,2,True,11.60946899999999
99,std,3,2,True,0.00024000000007617928
